TYPE;START;END;GUID1;GUID2;PROFILE1;PROFILE2
Horizontal;{79064.15296, 83059.684934, 49889.995737};{87033.389564, 82484.353454, 49889.995737};77bd0880-666d-405b-8195-d742971960f1;8537d53c-cc23-44d8-817d-60ec728495f9;2270*400;2210*400
Horizontal;{79064.15296, 83059.684934, 47599.995737};{87033.389564, 82484.353454, 47599.995737};77bd0880-666d-405b-8195-d742971960f1;9ea44ebc-d1f4-491a-84aa-39bb61879631;2270*400;2270*400
Corner;{80510.182724, 78860.355446, 33690.045337};{80510.182724, 78860.355446, 38869.994246};a352e00b-96de-4094-b8fe-dbc9879cc989;ba67bf28-2d85-440f-8f38-1bd8a2c0a71e;5179.95*300;5179.95*300
Corner;{83103.459493, 78673.139415, 33690.045337};{83103.459493, 78673.139415, 38869.995654};a868e5bf-7bc7-4231-907d-64fb39f2789d;ba67bf28-2d85-440f-8f38-1bd8a2c0a71e;5179.96*300;5179.95*300
Horizontal;{79064.15296, 83059.684934, 45309.995737};{87033.389564, 82484.353454, 45309.995737};9ea44ebc-d1f4-491a-84aa-39bb61879631;fb640205-432a-492c-b75b-18b0878db28f;2270*400;2120*400
Horizontal;{79064.15296, 83059.684934, 43169.995737};{87033.389564, 82484.353454, 43169.995737};cfa13026-2302-4001-893a-c1aa7ce87b02;fb640205-432a-492c-b75b-18b0878db28f;2125*400;2120*400
Horizontal;{79064.152952, 83059.684878, 41024.995737};{87033.389591, 82484.353508, 41024.995737};0d48bd85-7e6e-4226-bdea-4482bebe4a13;cfa13026-2302-4001-893a-c1aa7ce87b02;2125*400;2125*400
Side;{86940.664137, 81005.583715, 38667.49};{78941.837566, 81583.046892, 38667.49};924baae4-e262-4855-a9b7-cb1e42ff8e4b;f30f5d75-d1e6-4b86-b721-41335e14abde;UPB265(265X1200);UPB265(265X1200)
Beam at side of HCS 2;{78981.685769, 81580.163387, 38667.49};{79043.704476, 82440.563724, 38667.49};924baae4-e262-4855-a9b7-cb1e42ff8e4b;b132265b-04ed-42df-8b87-d4758be6aeef;UPB265(265X1200);480*740
Beam at side of HCS 2;{86900.769147, 81008.463711, 38667.49};{86962.875344, 81868.770317, 38667.49};924baae4-e262-4855-a9b7-cb1e42ff8e4b;c141a303-ade0-4156-a63a-a632bb09cc26;UPB265(265X1200);480*740
Side;{86866.329223, 79975.883369, 38667.49};{78867.499922, 80553.346743, 38667.49};09ce00ed-4d50-4b14-abee-97f497c83bb4;f30f5d75-d1e6-4b86-b721-41335e14abde;UPB265(265X1200);UPB265(265X1200)
Full width support 1;{78819.711557, 79333.310826, 38667.49};{78906.11886, 80530.195858, 38667.49};09ce00ed-4d50-4b14-abee-97f497c83bb4;b132265b-04ed-42df-8b87-d4758be6aeef;UPB265(265X1200);480*740
Side;{86778.462801, 78758.740537, 38667.49};{83328.14139, 79007.831849, 38667.49};074ea181-0622-400d-834e-fcef992f879a;09ce00ed-4d50-4b14-abee-97f497c83bb4;UPB265(265X1200);UPB265(265X1200)
