GUID1;GUID2;PROFILE1;PROFILE2;MATERIAL1;MATERIAL2;CLASS1;CLASS2;ANGLE;PLANE1_X_OVERLAP;PLANE2_X_OVERLAP;PART1_WDITH;PART2_WDITH;PLANE1_Y_OVERLAP;PLANE2_Y_OVERLAP;PLANE1_Z_OVERLAP;PLANE2_Z_OVERLAP;PART1_HEIGHT;PART2_HEIGHT;PART1_LENGTH;PART2_LENGTH;PART1_POINTS;PART2_POINTS;CONNECTION_FIRST_POINT;CONNECTION_SECOND_POINT
08815ec9-c04a-45ff-b8ca-836323ff4d10;54750218-e10a-4696-8c05-c6d3590da791;HQ320*8-30*200-20*496;HQ320*8-12*200-15*496;S355J2 NM;S355J2 NM;1818;1818;0;-10;-10;496;496;495.99;496;335;335;340;335;14069.51;14990;{82454.895102, 277890.671652, 45690}|{96524.403014, 277890.667629, 45690};{67454.898198, 277890.682575, 45690}|{82444.898198, 277890.677115, 45690};{82449.896734, 278138.671654, 45522.5};{82449.896592, 277642.67711, 45522.5}
54750218-e10a-4696-8c05-c6d3590da791;cb6f1d3b-fd37-4b56-969d-644ccca77aa1;HQ320*8-12*200-15*496;HQ320*8-30*200-20*496;S355J2 NM;S355J2 NM;1818;1818;0;-10;-10;496;496;496;496;335;335;335;340;14990;14230;{67454.898198, 277890.682575, 45690}|{82444.898198, 277890.677115, 45690};{53214.902967, 277890.689643, 45690}|{67444.898198, 277890.682576, 45690};{67449.898298, 278138.682579, 45522.5};{67449.898051, 277642.682564, 45522.5}
80b16d27-ca89-4038-a510-dbbd4a3ef5b8;fe4d906b-c08c-4f8a-b6b2-93924d9d5601;HQ320*8-30*200-20*496;HQ320*8-12*200-15*496;S355J2 NM;S355J2 NM;1818;1818;0;-10.01;-10.01;496;496;496;496;335;335;340;335;14224.98;14990;{53219.91115, 269660.709174, 45690}|{67444.887994, 269660.702107, 45690};{67454.898198, 269660.702575, 45690}|{82444.898198, 269660.707115, 45690};{67449.89308, 269908.702102, 45522.5};{67449.892833, 269412.702498, 45522.5}
191ae843-5124-4bc7-98e6-c3510310d1ad;ccd56725-29e6-4411-9e41-1fce44d16a6c;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;-19.99;-19.99;1200;1200;1200;1200;265;265;265;265;4131.98;3361.56;{80845.897017, 257405.714103, 45720}|{80845.897017, 261537.713038, 45720};{80845.898038, 254024.16324, 45720}|{80845.898037, 257385.723239, 45720};{80245.898038, 257395.718671, 45587.5};{81445.897017, 257395.718671, 45587.5}
73943635-d404-4119-80b6-69510d6e5534;ccd56725-29e6-4411-9e41-1fce44d16a6c;HQ265*6-10*150-10*297-15;UPB265(265X1200);S355J2 NM;C45/55;1818;12;90;1200;80;297;1200;80;1200;265;265;275;265;5150;3361.56;{77124.898808, 253903.16799, 45720}|{82274.898808, 253903.16799, 45720};{80845.898038, 254024.16324, 45720}|{80845.898037, 257385.723239, 45720};{80245.898038, 254064.16799, 45587.5};{81445.898038, 254064.16799, 45587.5}
763ae889-1023-41c1-9b1f-76468ce723bf;ccd56725-29e6-4411-9e41-1fce44d16a6c;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;3361.56;3361.56;660;1200;-40;-40;265;265;265;265;3361.56;3361.56;{80145.898038, 254024.16324, 45720}|{80145.898037, 257385.723239, 45720};{80845.898038, 254024.16324, 45720}|{80845.898037, 257385.723239, 45720};{80225.898038, 254024.16799, 45587.5};{80225.898038, 257385.723239, 45587.5}
ccd56725-29e6-4411-9e41-1fce44d16a6c;f7e4c48c-e625-46e4-92fd-37befdc4ae06;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;3361.56;3361.56;1200;1200;0;0;265;265;265;265;3361.56;3361.56;{80845.898038, 254024.16324, 45720}|{80845.898037, 257385.723239, 45720};{82045.898038, 254024.16324, 45720}|{82045.898037, 257385.723239, 45720};{81445.898038, 254024.16799, 45587.5};{81445.898038, 257385.723239, 45587.5}
191ae843-5124-4bc7-98e6-c3510310d1ad;f8e05e87-4710-4587-9acf-87aecb4ec327;UPB265(265X1200);HQ320*8-15*150-15*446;C45/55;S355J2 NM;12;1818;90;100;1200;1200;446;1200;100;235;235;265;335;4131.98;14990;{80845.897017, 257405.714103, 45720}|{80845.897017, 261537.713038, 45720};{67454.89939, 261660.702106, 45690}|{82444.89939, 261660.69739, 45690};{80245.897017, 261487.697878, 45572.5};{81445.897017, 261487.697878, 45572.5}
191ae843-5124-4bc7-98e6-c3510310d1ad;2609b030-867a-4984-b3d1-f2b3b014ded3;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;4131.98;4131.98;1200;660;-40;-40;265;265;265;265;4131.98;4131.98;{80845.897017, 257405.714103, 45720}|{80845.897017, 261537.713038, 45720};{79545.897017, 257405.714103, 45720}|{79545.897017, 261537.713038, 45720};{80225.897017, 257405.714103, 45587.5};{80225.897017, 261537.698308, 45587.5}
191ae843-5124-4bc7-98e6-c3510310d1ad;3f263979-48d5-4498-a750-ea25808801a2;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;4131.98;4131.98;1200;1200;0;0;265;265;265;265;4131.98;4131.98;{80845.897017, 257405.714103, 45720}|{80845.897017, 261537.713038, 45720};{82045.897017, 257405.714103, 45720}|{82045.897017, 261537.713038, 45720};{81445.897017, 257405.714103, 45587.5};{81445.897017, 261537.691926, 45587.5}
