GUID1;GUID2;PROFILE1;PROFILE2;MATERIAL1;MATERIAL2;CLASS1;CLASS2;ANGLE;PART1_WDITH;PART2_WDITH;PART1_HEIGHT;PART2_HEIGHT;PART1_LENGTH;PART2_LENGTH;PART1_POINTS;PART2_POINTS;CONNECTION_FIRST_POINT;CONNECTION_SECOND_POINT;PART1_COG;PART2_COG;PLANE1_X_START;PLANE1_X_OVERLAP;PLANE1_X_END;PLANE1_Y_START;PLANE1_Y_OVERLAP;PLANE1_Y_END;PLANE1_Z_START;PLANE1_Z_OVERLAP;PLANE1_Z_END;PLANE2_X_START;PLANE2_X_OVERLAP;PLANE2_X_END;PLANE2_Y_START;PLANE2_Y_OVERLAP;PLANE2_Y_END;PLANE2_Z_START;PLANE2_Z_OVERLAP;PLANE2_Z_END
5e30ac64-6631-4584-aee6-e803568e37d1;780c78d3-ca82-4be9-90f0-987aa0ec8f85;536580;326940;ALUMINIUM;ALUMINIUM;3;3;90;216;215;60;60;4700;822;{55147.229549, 90831.603586, 51295}|{55147.229549, 90831.603586, 55995};{55147.22955, 90831.603586, 55750}|{55823.166253, 91350.268771, 55750};{55034.195219, 91015.872853, 55750};{55165.079038, 90845.301971, 55750};{55081.483259, 90917.285704, 53645.0};{55419.755039, 91176.22286, 55750};4425.0;60;215.0;0.001564;215.0;0.998436;807.0;15.0;45.0;45.0;15.0;807.0;0.001564;215.0;0.998436;4425.0;60;215.0
780c78d3-ca82-4be9-90f0-987aa0ec8f85;d8a84d55-3dcf-42b4-8051-67db3c15ae1d;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;822;995;{55147.22955, 90831.603586, 55750}|{55823.166253, 91350.268771, 55750};{54334.042788, 90207.622585, 55750}|{55147.22955, 90831.603586, 55750};{55016.344777, 91002.175709, 55750};{55147.228597, 90831.604827, 55750};{55419.755039, 91176.22286, 55750};{54675.193307, 90604.899767, 55750};1025.0;-30.0;852.0;3.8701e-9;215.0;4.6136e-9;0;60;0;1025.0;-30.0;852.0;3.8678e-9;215.0;4.6196e-9;0;60;0
780c78d3-ca82-4be9-90f0-987aa0ec8f85;a8b3a25c-8883-423a-bd4b-f65266981b8b;326940;536580;ALUMINIUM;ALUMINIUM;3;3;90;215;216;60;60;822;4700;{55147.22955, 90831.603586, 55750}|{55823.166253, 91350.268771, 55750};{55823.166253, 91350.26877, 51295}|{55823.166253, 91350.26877, 55995};{55674.43104, 91507.143749, 55750};{55805.31486, 91336.572867, 55750};{55419.755039, 91176.22286, 55750};{55757.419962, 91435.950888, 53645.0};807.0;15.0;45.0;0.001564;215.0;0.998436;4425.0;60;215.0;4425.0;60;215.0;0.001564;215.0;0.998436;45.0;15.0;807.0
4d531598-3230-4c59-85ab-cb6a8fa602f3;780c78d3-ca82-4be9-90f0-987aa0ec8f85;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;822;822;{55823.166253, 91350.268771, 55750}|{56499.102956, 91868.933955, 55750};{55147.22955, 90831.603586, 55750}|{55823.166253, 91350.268771, 55750};{55692.281481, 91520.840893, 55750};{55823.165301, 91350.270011, 55750};{56095.691742, 91694.888044, 55750};{55419.755039, 91176.22286, 55750};852.0;-30.0;852.0;3.7784e-9;215.0;3.8141e-9;0;60;0;852.0;-30.0;852.0;3.8032e-9;215.0;3.8294e-9;0;60;0
317643bc-b2db-43f8-9308-e2ce1e409765;c348c50e-276c-4c9c-b1a4-6dc588918142;326940;536580;ALUMINIUM;ALUMINIUM;3;3;90;215;216;60;60;1674;3500;{55147.22955, 90831.603586, 50830}|{56499.102956, 91868.933955, 50830};{55147.229549, 90831.603586, 47785}|{55147.229549, 90831.603586, 51285};{55034.195219, 91015.872853, 50830};{55165.079038, 90845.301971, 50830};{55757.723391, 91435.555452, 50830};{55081.483259, 90917.285704, 49535.0};45.0;15.0;1659.0;0.001564;215.0;0.998436;3015.0;60;425.0;3015.0;60;425.0;0.001564;215.0;0.998436;1659.0;15.0;45.0
317643bc-b2db-43f8-9308-e2ce1e409765;7739dbb4-7892-4a4a-81ed-6e25c3c0ef20;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;1674;995;{55147.22955, 90831.603586, 50830}|{56499.102956, 91868.933955, 50830};{54334.042788, 90207.622585, 50830}|{55147.22955, 90831.603586, 50830};{55016.344777, 91002.175709, 50830};{55147.228597, 90831.604827, 50830};{55757.723391, 91435.555452, 50830};{54675.193307, 90604.899767, 50830};1025.0;-30.0;1704.0;7.6829e-9;215.0;4.8208e-9;0;60;0;1025.0;-30.0;1704.0;7.6808e-9;215.0;4.8193e-9;0;60;0
317643bc-b2db-43f8-9308-e2ce1e409765;abc66d79-80c2-44cf-84b7-8557a198b06d;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;1674;985;{55147.22955, 90831.603586, 50830}|{56499.102956, 91868.933955, 50830};{56499.102956, 91868.933955, 50830}|{57304.356188, 92486.827337, 50830};{56368.218184, 92039.506077, 50830};{56499.102004, 91868.935195, 50830};{55757.723391, 91435.555452, 50830};{56836.28671, 92263.167327, 50830};1704.0;-30.0;1015.0;2.7145e-9;215.0;5.6346e-9;0;60;0;1704.0;-30.0;1015.0;2.7128e-9;215.0;5.6328e-9;0;60;0
317643bc-b2db-43f8-9308-e2ce1e409765;835f3f0e-903c-4a8e-b4f7-acc41e6b928c;326940;536580;ALUMINIUM;ALUMINIUM;3;3;90;215;216;60;60;1674;3500;{55147.22955, 90831.603586, 50830}|{56499.102956, 91868.933955, 50830};{56499.102956, 91868.933955, 47785}|{56499.102956, 91868.933955, 51285};{56350.367743, 92025.808933, 50830};{56481.251563, 91855.238051, 50830};{55757.723391, 91435.555452, 50830};{56433.356665, 91954.616072, 49535.0};1659.0;15.0;45.0;0.001564;215.0;0.998436;3015.0;60;425.0;3015.0;60;425.0;0.001564;215.0;0.998436;45.0;15.0;1659.0
3f7b6286-58ab-42df-b753-5c03684f9fc1;5e30ac64-6631-4584-aee6-e803568e37d1;326940;536580;ALUMINIUM;ALUMINIUM;3;3;90;215;216;60;60;822;4700;{55147.22955, 90831.603586, 52685}|{55823.166253, 91350.268771, 52685};{55147.229549, 90831.603586, 51295}|{55147.229549, 90831.603586, 55995};{55034.195219, 91015.872853, 52685};{55165.079038, 90845.301971, 52685};{55419.755039, 91176.22286, 52685};{55081.483259, 90917.285704, 53645.0};45.0;15.0;807.0;0.001564;215.0;0.998436;1360.0;60;3280.0;1360.0;60;3280.0;0.001564;215.0;0.998436;807.0;15.0;45.0
3f7b6286-58ab-42df-b753-5c03684f9fc1;4abad426-ebb7-4241-aebf-4cd8030e7a70;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;822;995;{55147.22955, 90831.603586, 52685}|{55823.166253, 91350.268771, 52685};{54334.042788, 90207.622585, 52685}|{55147.22955, 90831.603586, 52685};{55016.344777, 91002.175709, 52685};{55147.228597, 90831.604827, 52685};{55419.755039, 91176.22286, 52685};{54675.193307, 90604.899767, 52685};1025.0;-30.0;852.0;3.6776e-9;215.0;4.4278e-9;0;60;0;1025.0;-30.0;852.0;3.6747e-9;215.0;4.4271e-9;0;60;0
