GUID1;GUID2;PROFILE1;PROFILE2;MATERIAL1;MATERIAL2;CLASS1;CLASS2;ANGLE_XX;ANGLE_XY;ANGLE_XZ;ANGLE_YX;ANGLE_YY;ANGLE_YZ;ANGLE_ZX;ANGLE_ZY;ANGLE_ZZ;PART1_WDITH;PART2_WDITH;PART1_HEIGHT;PART2_HEIGHT;PART1_LENGTH;PART2_LENGTH;PART1_POINTS;PART2_POINTS;CONNECTION_FIRST_POINT;CONNECTION_SECOND_POINT;PART1_COG;PART2_COG;PLANE1_X_START;PLANE1_X_OVERLAP;PLANE1_X_END;PLANE1_Y_START;PLANE1_Y_OVERLAP;PLANE1_Y_END;PLANE1_Z_START;PLANE1_Z_OVERLAP;PLANE1_Z_END;PLANE2_X_START;PLANE2_X_OVERLAP;PLANE2_X_END;PLANE2_Y_START;PLANE2_Y_OVERLAP;PLANE2_Y_END;PLANE2_Z_START;PLANE2_Z_OVERLAP;PLANE2_Z_END;GLOBAL_Z_START;GLOBAL_Z_OVERLAP;GLOBAL_Z_END
4e06ad5c-6057-449f-a010-57ae386d3bca;cbd91ed1-d95d-4634-9323-c97e1f41b633;3330845;3330845;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;187.5;187.5;50;50;1140.5;2827.6;{18443.98233, 75199.99585, 33934.999725}|{18443.98233, 76340.49585, 33934.999725};{18443.98233, 75199.999725, 34742.50415}|{18443.98233, 75199.999725, 31914.90415};{18256.48233, 75212.497787, 33934.999725};{18443.98233, 75212.497787, 33934.999725};{18350.23233, 75770.24585, 33934.999725};{18350.23233, 75199.999725, 33328.70415};24.996124;25.003876;1115.496124;0;187.5;0;1995.095575;50;782.504425;782.504425;50;1995.095575;0;187.5;0;24.996124;25.003876;1115.496124;1995.095575;50;782.504425
cbd91ed1-d95d-4634-9323-c97e1f41b633;ed488093-b027-4b01-b6fc-57d73dcac71a;3330845;3330842;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;187.5;188;50;32.5;2827.6;2205.5;{18443.98233, 75199.999725, 34742.50415}|{18443.98233, 75199.999725, 31914.90415};{18443.98233, 76340.49585, 34742.499725}|{18443.98233, 74134.99585, 34742.499725};{18256.48233, 75199.999725, 34726.249725};{18443.98233, 75199.999725, 34726.249725};{18350.23233, 75199.999725, 33328.70415};{18349.98233, 75237.74585, 34726.249725};0.004425;32.5;2795.095575;0;187.5;0.5;1040.003876;50;1115.496124;1115.496124;50;1040.003876;0;187.5;0.5;0.004425;32.5;2795.095575;2795.095575;32.5;0.004425
9a22bb71-984f-4ed7-b417-250f77c98bf6;cbd91ed1-d95d-4634-9323-c97e1f41b633;3330857;3330845;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;188;187.5;45.1;50;2205.5;2827.6;{18443.98233, 74134.99585, 31914.899725}|{18443.98233, 76340.49585, 31914.899725};{18443.98233, 75199.999725, 34742.50415}|{18443.98233, 75199.999725, 31914.90415};{18256.48233, 75199.999725, 31937.451937};{18443.98233, 75199.999725, 31937.451937};{18349.98233, 75237.74585, 31937.449725};{18350.23233, 75199.999725, 33328.70415};1040.003876;50;1115.496124;0;187.5;0.5;0.004424;45.095574;2782.504426;2782.504426;45.095574;0.004424;0;187.5;0.5;1040.003876;50;1115.496124;0.004424;45.095574;2782.504426
cbd91ed1-d95d-4634-9323-c97e1f41b633;f4c744f9-b5ab-4786-bcd6-caa84235d088;3330845;3330845;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;187.5;187.5;50;50;2827.6;1065;{18443.98233, 75199.999725, 34742.50415}|{18443.98233, 75199.999725, 31914.90415};{18443.98233, 74134.99585, 33934.999725}|{18443.98233, 75199.99585, 33934.999725};{18256.48233, 75187.497787, 33934.999725};{18443.98233, 75187.497787, 33934.999725};{18350.23233, 75199.999725, 33328.70415};{18350.23233, 74667.49585, 33934.999725};782.504425;50;1995.095575;0;187.5;0;1040.003876;24.996124;25.003876;1040.003876;24.996124;25.003876;0;187.5;0;1995.095575;50;782.504425;1995.095575;50;782.504425
5e7299bd-c675-4ed6-8470-a778295df4fa;b89881e1-db83-49bb-bc92-ec0d59d188e0;3330845;3330842;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;187.5;188;50;32.5;1129;2811;{19443.98233, 75199.99585, 33934.999725}|{19443.98233, 76340.49585, 33934.999725};{19443.98233, 76340.49585, 31931.499725}|{19443.98233, 76340.49585, 34742.499725};{19256.48233, 76324.24585, 33934.999725};{19443.98233, 76324.24585, 33934.999725};{19350.23233, 75775.99585, 33934.999725};{19349.98233, 76324.24585, 33336.999725};1096.5;32.5;0;0;187.5;0.5;1978.5;50;782.5;1978.5;50;782.5;0;187.5;0.5;0;32.5;1096.5;1978.5;50;782.5
4fe1ac81-b47e-4851-9191-f215d267b1fb;b89881e1-db83-49bb-bc92-ec0d59d188e0;3330842;3330842;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;188;188;32.5;32.5;2205.5;2811;{19443.98233, 76340.49585, 34742.499725}|{19443.98233, 74134.99585, 34742.499725};{19443.98233, 76340.49585, 31931.499725}|{19443.98233, 76340.49585, 34742.499725};{19255.98233, 76324.24585, 34726.249725};{19443.98233, 76324.24585, 34726.249725};{19349.98233, 75237.74585, 34726.249725};{19349.98233, 76324.24585, 33336.999725};0;32.5;2173;0;188;0;0;32.5;2778.5;2778.5;32.5;0;0;188;0;0;32.5;2173;2778.5;32.5;0
12d29dc0-0c00-42df-beee-7363b2e4e266;b89881e1-db83-49bb-bc92-ec0d59d188e0;3330857;3330842;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;188;188;45.1;32.5;2205.5;2811;{19443.98233, 74134.99585, 31914.899725}|{19443.98233, 76340.49585, 31914.899725};{19443.98233, 76340.49585, 31931.499725}|{19443.98233, 76340.49585, 34742.499725};{19255.98233, 76324.24585, 31945.749725};{19443.98233, 76324.24585, 31945.749725};{19349.98233, 75237.74585, 31937.449725};{19349.98233, 76324.24585, 33336.999725};2173;32.5;0;0;188;0;16.599999;28.499999;2782.500001;16.599999;28.499999;2782.500001;0;188;0;0;32.5;2173;16.599999;28.499999;2782.500001
4e06ad5c-6057-449f-a010-57ae386d3bca;fd2b29fc-acac-44f8-817e-10e890d0438f;3330845;3330842;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;187.5;188;50;32.5;1140.5;2811;{18443.98233, 75199.99585, 33934.999725}|{18443.98233, 76340.49585, 33934.999725};{18443.98233, 76340.49585, 31931.499725}|{18443.98233, 76340.49585, 34742.499725};{18256.48233, 76324.24585, 33934.999725};{18443.98233, 76324.24585, 33934.999725};{18350.23233, 75770.24585, 33934.999725};{18349.98233, 76324.24585, 33336.999725};1108;32.5;0;0;187.5;0.5;1978.5;50;782.5;1978.5;50;782.5;0;187.5;0.5;0;32.5;1108;1978.5;50;782.5
ed488093-b027-4b01-b6fc-57d73dcac71a;fd2b29fc-acac-44f8-817e-10e890d0438f;3330842;3330842;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;188;188;32.5;32.5;2205.5;2811;{18443.98233, 76340.49585, 34742.499725}|{18443.98233, 74134.99585, 34742.499725};{18443.98233, 76340.49585, 31931.499725}|{18443.98233, 76340.49585, 34742.499725};{18255.98233, 76324.24585, 34726.249725};{18443.98233, 76324.24585, 34726.249725};{18349.98233, 75237.74585, 34726.249725};{18349.98233, 76324.24585, 33336.999725};0;32.5;2173;0;188;0;0;32.5;2778.5;2778.5;32.5;0;0;188;0;0;32.5;2173;2778.5;32.5;0
9a22bb71-984f-4ed7-b417-250f77c98bf6;fd2b29fc-acac-44f8-817e-10e890d0438f;3330857;3330842;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;188;188;45.1;32.5;2205.5;2811;{18443.98233, 74134.99585, 31914.899725}|{18443.98233, 76340.49585, 31914.899725};{18443.98233, 76340.49585, 31931.499725}|{18443.98233, 76340.49585, 34742.499725};{18255.98233, 76324.24585, 31945.749725};{18443.98233, 76324.24585, 31945.749725};{18349.98233, 75237.74585, 31937.449725};{18349.98233, 76324.24585, 33336.999725};2173;32.5;0;0;188;0;16.599999;28.499999;2782.500001;16.599999;28.499999;2782.500001;0;188;0;0;32.5;2173;16.599999;28.499999;2782.500001
